ListName,Id,display_name,Name,label::nepali,media::image::english,media::video::english,media::audio::english,media::image::nepali,media::video::nepali,media::audio::nepali,dist1,q101,q101_b,q101_c,q101_a,q102,q102a
q101,1,,Madhyapur thimi (Bhaktapur),??????? ???? (???????),,,,,,,,1,,,,,
q101,2,,Nepalgunj (Banke),?????????(?????),,,,,,,,2,,,,,
q101,3,,Attriya (Kailali),????????(??????),,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,
q102,1,,Government Hospital,?????? ???????,,,,,,,,,2,3,1,,
q102,2,,Private Hospital,???? ???????,,,,,,,,,2,3,1,,
q102,3,,Zonal Hospital,????? ???????,,,,,,,,,2,,,,
q102,4,,Community Hospital,????????? ???????,,,,,,,,,2,3,1,,
q102,5,,PHCC,???????? ????????? ???????,,,,,,,,,2,3,1,,
q102,6,,Health Post,????????? ????,,,,,,,,,2,3,1,,
q102,7,,Urban Health Centre,???? ????????? ???????,,,,,,,,,2,3,1,,
q102,8,,Community Health Unit,????????? ????????? ????,,,,,,,,,2,3,1,,
q102,9,,Pharmacy,????????,,,,,,,,,2,3,1,,
q102,10,,Private clinic,???? ???????,,,,,,,,,2,3,1,,
q102,11,,Ayurbedic,??????????,,,,,,,,,2,3,1,,
q102,12,,PHC/ORC,PHC/ORC,,,,,,,,,2,3,1,,
q102,13,,EPI,EPI,,,,,,,,,2,3,1,,
q102,14,,Manohara community health center,Manohara community health center,,,,,,,,,2,3,1,,
q102,15,,Malakheti Hospital,Malakheti Hospital,,,,,,,,,,3,,,
q102,16,,Others health facility (For GIS only),???? ????????? ?????? (GIS ?? ???? ?????),,,,,,,,,2,3,1,,
,,,,,,,,,,,,,,,,,
q103,1,,Korean Nepal friendship hospital,Korean Nepal friendship hospital,,,,,,,,1,,,,2,
q103,2,,Nagarik Hospital,Nagarik Hospital,,,,,,,,1,,,,2,
q103,3,,Madhayapur Hospital,Madhayapur Hospital,,,,,,,,1,,,,1,
